,user,round,Graphic,Interactive,SelfAssessment,Opinion
80,吳○娟,0,6,6,4,6
81,吳○娟,1,1,1,2,1
82,吳○娟,2,5,5,4,5
83,吳○娟,3,4,2,3,2
84,吳○娟,4,3,3,4,3
85,吳○娟,5,3,5,5,5
86,吳○娟,6,2,2,3,2
87,吳○娟,7,1,1,1,1
88,吳○娟,8,3,2,3,2
89,吳○娟,9,3,4,4,4
90,陳○芳,0,3,4,3,3
91,陳○芳,1,3,1,1,1
92,陳○芳,2,3,2,3,3
93,陳○芳,3,3,1,2,3
94,陳○芳,4,4,5,4,4
95,陳○芳,5,3,3,3,3
96,陳○芳,6,4,4,5,5
97,陳○芳,7,4,1,2,2
98,陳○芳,8,2,1,1,1
99,陳○芳,9,1,1,1,1
120,王○妍,0,3,4,3,4
121,王○妍,1,5,4,4,5
122,王○妍,2,5,3,4,4
123,王○妍,3,3,2,3,2
124,王○妍,4,4,3,4,3
125,王○妍,5,3,2,3,3
126,王○妍,6,3,3,4,4
127,王○妍,7,4,4,4,4
128,王○妍,8,3,2,2,2
129,王○妍,9,4,2,3,3
150,謝○勳,0,5,6,4,6
151,謝○勳,1,4,4,3,3
152,謝○勳,2,5,5,3,5
153,謝○勳,3,4,3,3,3
154,謝○勳,4,5,5,4,5
155,謝○勳,5,5,5,4,5
156,謝○勳,6,2,1,2,2
157,謝○勳,7,4,4,3,3
158,謝○勳,8,4,5,5,5
159,謝○勳,9,1,1,2,1
180,陳○慈,0,2,3,1,2
181,陳○慈,1,2,1,1,1
182,陳○慈,2,4,5,3,4
183,陳○慈,3,3,4,2,3
184,陳○慈,4,4,5,3,4
185,陳○慈,5,5,4,3,4
186,陳○慈,6,3,3,2,3
187,陳○慈,7,5,5,2,4
188,陳○慈,8,5,4,3,3
189,陳○慈,9,6,4,2,2
200,洪○心,0,6,5,4,5
201,洪○心,1,5,5,3,4
202,洪○心,2,2,3,2,1
203,洪○心,3,4,4,3,4
204,洪○心,4,2,1,1,1
205,洪○心,5,4,5,2,4
206,洪○心,6,1,1,1,1
207,洪○心,7,1,1,1,1
208,洪○心,8,2,2,2,2
209,洪○心,9,2,1,2,1
210,林○依,0,3,4,2,4
211,林○依,1,2,3,2,3
212,林○依,2,1,2,3,2
213,林○依,3,4,5,5,5
214,林○依,4,3,4,4,4
215,林○依,5,1,1,1,1
216,林○依,6,3,3,3,3
217,林○依,7,2,2,2,2
218,林○依,8,1,1,2,1
219,林○依,9,3,1,1,2
230,徐○祺,0,4,5,2,4
231,徐○祺,1,5,5,3,4
232,徐○祺,2,3,3,1,3
233,徐○祺,3,2,1,1,1
234,徐○祺,4,6,4,2,2
235,徐○祺,5,6,5,4,4
236,徐○祺,6,2,3,2,2
237,徐○祺,7,4,4,2,3
238,徐○祺,8,4,5,4,4
239,徐○祺,9,3,5,5,4
240,温○葶,0,5,4,4,5
241,温○葶,1,2,1,1,2
242,温○葶,2,1,2,1,3
243,温○葶,3,1,3,2,3
244,温○葶,4,2,2,3,2
245,温○葶,5,3,1,4,2
246,温○葶,6,4,3,4,4
247,温○葶,7,5,4,3,4
248,温○葶,8,5,5,4,5
249,温○葶,9,5,5,5,5
260,李○偉,0,3,6,4,5
261,李○偉,1,3,6,5,5
262,李○偉,2,4,5,4,5
263,李○偉,3,3,3,3,3
264,李○偉,4,1,1,1,1
265,李○偉,5,2,6,2,2
266,李○偉,6,2,5,2,2
267,李○偉,7,1,6,4,1
268,李○偉,8,2,4,3,2
269,李○偉,9,1,4,1,1
270,林○宇,0,4,5,2,5
271,林○宇,1,4,3,2,4
272,林○宇,2,3,2,2,3
273,林○宇,3,5,5,4,5
274,林○宇,4,5,4,4,5
275,林○宇,5,3,4,4,4
276,林○宇,6,6,6,5,5
277,林○宇,7,5,5,6,6
278,林○宇,8,5,6,6,6
279,林○宇,9,2,2,1,1
280,蔡○彤,0,5,4,3,3
281,蔡○彤,1,5,5,3,2
282,蔡○彤,2,5,2,3,2
283,蔡○彤,3,3,4,3,2
284,蔡○彤,4,5,4,4,3
285,蔡○彤,5,3,2,2,2
286,蔡○彤,6,3,4,2,1
287,蔡○彤,7,4,3,2,1
288,蔡○彤,8,4,3,2,1
289,蔡○彤,9,2,3,1,3
290,蘇○帆,0,6,5,1,5
291,蘇○帆,1,2,2,5,2
292,蘇○帆,2,4,5,4,5
293,蘇○帆,3,3,3,6,4
294,蘇○帆,4,1,1,4,1
295,蘇○帆,5,3,3,6,3
296,蘇○帆,6,6,6,4,5
297,蘇○帆,7,5,4,5,4
298,蘇○帆,8,2,1,4,2
299,蘇○帆,9,4,3,6,3
